MATCH x1.wav hewlett.wav (index 109; dist: 160; thresh: 810)
MATCH x2.wav hewlett.wav (index 108; dist: 480; thresh: 810)
MATCH x3.wav hewlett.wav (index 109; dist: 128; thresh: 810)
MATCH x10.wav trouble.wav (index 254; dist: 723; thresh: 810)
MATCH x11.wav trouble.wav (index 4445; dist: 3764; thresh: 3815)
MATCH x12.wav trouble.wav (index 271; dist: 2734; thresh: 3530)
MATCH x7.wav trouble.wav (index 0; dist: 2166; thresh: 3530)
MATCH x8.wav trouble.wav (index 0; dist: 2157; thresh: 3530)
MATCH x9.wav trouble.wav (index 0; dist: 2747; thresh: 3530)
MATCH x1.wav wayfaring.wav (index 1261; dist: 800; thresh: 810)
MATCH x2.wav wayfaring.wav (index 554; dist: 800; thresh: 810)
MATCH x3.wav wayfaring.wav (index 1261; dist: 768; thresh: 810)
MATCH x7.wav wayfaring.wav (index 1022; dist: 3274; thresh: 3530)
MATCH x8.wav wayfaring.wav (index 1022; dist: 3283; thresh: 3530)
MATCH x9.wav wayfaring.wav (index 1014; dist: 3365; thresh: 3530)
MATCH x10.wav trouble.wav (index 254; dist: 723; thresh: 810)
MATCH x10.wav x12.wav (index 336; dist: 723; thresh: 810)
MATCH x11.wav trouble.wav (index 4445; dist: 3764; thresh: 3815)
MATCH x12.wav x11.wav (index 0; dist: 2290; thresh: 3530)
MATCH x12.wav trouble.wav (index 271; dist: 2734; thresh: 3530)
MATCH x10.wav x12.wav (index 336; dist: 723; thresh: 810)
MATCH x12.wav x11.wav (index 0; dist: 2290; thresh: 3530)
MATCH x1.wav hewlett.wav (index 109; dist: 160; thresh: 810)
MATCH x1.wav wayfaring.wav (index 1261; dist: 800; thresh: 810)
MATCH x1.wav x7.wav (index 77; dist: 768; thresh: 810)
MATCH x1.wav x8.wav (index 76; dist: 736; thresh: 810)
MATCH x1.wav x9.wav (index 76; dist: 768; thresh: 810)
MATCH x2.wav hewlett.wav (index 108; dist: 480; thresh: 810)
MATCH x2.wav wayfaring.wav (index 554; dist: 800; thresh: 810)
MATCH x2.wav x7.wav (index 0; dist: 608; thresh: 810)
MATCH x2.wav x8.wav (index 0; dist: 704; thresh: 810)
MATCH x2.wav x9.wav (index 0; dist: 640; thresh: 810)
MATCH x3.wav hewlett.wav (index 109; dist: 128; thresh: 810)
MATCH x3.wav wayfaring.wav (index 1261; dist: 768; thresh: 810)
MATCH x3.wav x7.wav (index 77; dist: 736; thresh: 810)
MATCH x3.wav x8.wav (index 76; dist: 704; thresh: 810)
MATCH x3.wav x9.wav (index 76; dist: 736; thresh: 810)
MATCH x7.wav trouble.wav (index 0; dist: 2166; thresh: 3530)
MATCH x1.wav x7.wav (index 77; dist: 768; thresh: 810)
MATCH x2.wav x7.wav (index 0; dist: 608; thresh: 810)
MATCH x3.wav x7.wav (index 77; dist: 736; thresh: 810)
MATCH x8.wav trouble.wav (index 0; dist: 2157; thresh: 3530)
MATCH x1.wav x8.wav (index 76; dist: 736; thresh: 810)
MATCH x2.wav x8.wav (index 0; dist: 704; thresh: 810)
MATCH x3.wav x8.wav (index 76; dist: 704; thresh: 810)
MATCH x9.wav trouble.wav (index 0; dist: 2747; thresh: 3530)
MATCH x1.wav x9.wav (index 76; dist: 768; thresh: 810)
MATCH x2.wav x9.wav (index 0; dist: 640; thresh: 810)
MATCH x3.wav x9.wav (index 76; dist: 736; thresh: 810)
